Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Product / Growth,Product Manager – Web3 Platform,India / Remote,Define product features and roadmap for Web3 user-platform at Polygon.,"Product strategy, Blockchain domain, Analytics",18,25,21.5,Polygon Technology
Product / Growth,Product Manager – Yield & Ad Tech,India / Remote,Define product features for PubMatic’s ad-yield and monetization platform.,"Product strategy, Analytics, Ad domain knowledge",18,15,16.5,PubMatic
Product / Growth,Product Manager – FinTech Platform,India,Define roadmap for a finance/wealth-tech product at Goldman Sachs.,"Product strategy, analytics, finance domain",18,22,20,Goldman Sachs
Product / Growth,Product Manager – Digital Payments,India / Remote,Define product roadmap for digital-payments offerings at Mastercard.,"Product strategy, Analytics, FinTech domain",18,22,20,Mastercard
Product / Growth,Product Manager – Augmented Reality,India / Remote,Define roadmap and features for Meta’s AR/VR product lines.,"Product strategy, Analytics, Domain knowledge",18,26,22,Meta Platforms
Product / Growth,Product Manager – Consumer Banking,India,Define and launch banking features for Jupiter’s app.,"Product Strategy, Analytics, Communication",17,26,21.5,Jupiter Financial
Product / Growth,Product Manager – Payments,India,Define product features and roadmap for PayU’s payments & credit products.,"Product strategy, Analytics, Communication",17,26,21.5,PayU
Product / Growth,Product Manager – Unreal / Game Tools,India / Remote,Define features for Unreal engine or game-tool products at Epic Games.,"Product strategy, Game dev domain, Analytics",17,26,21.5,Epic Games
Product / Growth,Product Manager – Security Solutions,India / Remote,Define product roadmap for F5’s application-delivery & security products.,"Product strategy, analytics, security domain",17,26,21.5,F5
Product / Growth,Product Manager – Wireless/Connectivity Products,India / Remote,Define roadmap/features for Qualcomm’s connectivity/Wireless products.,"Product strategy, analytics, domain expertise",17,26,21.5,Qualcomm
Product / Growth,Product Manager – Workflow & IT Ops Platform,India,Define product roadmap for ServiceNow’s IT/Workflow products.,"Product strategy, Analytics, domain knowledge",17,15,16,ServiceNow
Product / Growth,Product Manager – Financial Services App,India,Define features and roadmap for Paytm’s banking or fintech offerings.,"Product strategy, Analytics, Stakeholder management",16,24,20,Paytm
Product / Growth,Product Manager – Health Tech,India,Define and launch healthcare features for Practo’s platform.,"Product strategy, Analytics, Domain knowledge",16,22,19,Practo
Product / Growth,Product Manager – Web3 Platform,India / Remote,Define features for Polygon’s Web3 user/non-user applications.,"Product strategy, Blockchain domain, Analytics",16,23,19.5,Polygon Technology
Product / Growth,Product Manager – Performance Monitoring Platform,India,Define features and roadmap for APM (application-performance) platform.,"Product strategy, analytics, domain knowledge",16,24,20,AppDynamics
Product / Growth,Product Manager – Payment Platform,India / Remote,Define features & roadmap for Checkout.com’s payments/financial services.,"Product strategy, analytics, fintech domain",16,24,20,Checkout.com
Product / Growth,Product Manager – Enterprise Alerts & Insight Platform,India / Remote,Define product features for Dataminr’s enterprise alert system.,"Product Strategy, Analytics, Domain knowledge",16,22,19,Dataminr
Product / Growth,Product Manager – Analytics Platform,India / Remote,Define features for FICO’s analytics/risk platform.,"Product strategy, analytics, domain expertise",16,14,15,FICO
Product / Growth,Product Manager – Security Solutions,India / Remote,Define roadmap for FireEye’s security product suite.,"Product strategy, security domain, analytics",16,26,21,FireEye
Product / Growth,Product Manager – Cloud Services,India / Remote,Define features and roadmap for Nutanix’s cloud-service offerings.,"Product strategy, Analytics, Cloud domain",16,32,24,Nutanix
Product / Growth,Product Manager – Cloud Services,India,Define product strategy and features for Oracle Cloud/Enterprise services.,"Product strategy, Analytics, Domain expertise",16,23,19.5,Oracle Corporation
Product / Growth,Product Manager – Growth & Engagement,India / Remote,Define roadmap and features to boost user engagement on Quora.,"Product strategy, analytics, UX knowledge",16,20,18,Quora
Product / Growth,Product Manager – Cloud CRM/Enterprise Platform,India,Define product features and roadmap for Salesforce’s enterprise products.,"Product strategy, Analytics, Domain knowledge",16,26,21,Salesforce
Product / Growth,Product Manager – Analytics/Search Platform,India / Remote,Define roadmap/features for ThoughtSpot’s analytics solutions.,"Product strategy, Analytics, Domain knowledge",16,24,20,ThoughtSpot
Product / Growth,Product Manager – Payment Solutions,India,Define roadmap for Visa India’s payment/fintech product offerings.,"Product strategy, analytics, finance domain",16,25,20.5,Visa India
Product / Growth,Product Manager – Digital Banking/Wealth,India,Define product roadmap for Wells Fargo’s digital/wealth offerings.,"Product strategy, analytics, financial domain",16,26,21,Wells Fargo
Product / Growth,Product Manager – FinTech Products,India,Define roadmap for Yodlee’s financial product offerings.,"Product strategy, analytics, FinTech domain",16,26,21,Yodlee
Product / Growth,Product Manager – Review & Feedback Platform,India / Remote,Define product features for review/feedback ecosystem.,"Product strategy, analytics, UX",15,24,19.5,Bazaarvoice
Product / Growth,Product Manager – Consumer Security,India,Define roadmap and features for consumer-cybersecurity products.,"Product strategy, analytics, domain knowledge",15,25,20,Bitdefender
Product / Growth,Product Manager – Payments Platform,India,Lead product features and roadmap for payments platform.,"Product strategy, Analytics, Business acumen",15,24,19.5,Bottomline Technologies
Product / Growth,Product Manager – Digital Financial Products,India,Define features and roadmap for Capital One’s digital finance products.,"Product strategy, Analytics, FinTech domain",15,22,18.5,Capital One
Product / Growth,Product Manager – Smart Workplace Solutions,India / Remote,Define product roadmap for smart-workplace/AV automation products.,"Product strategy, UI/UX, Domain awareness",15,28,21.5,Crestron Electronics
Product / Growth,Product Manager – Cloud Communication,India / Remote,Define roadmap for cloud voice/video product features at Dialpad.,"Product strategy, Analytics, Communication",15,22,18.5,Dialpad
Product / Growth,Product Manager – Live Services / Games,India / Remote,Define feature roadmap for live service games.,"Product strategy, analytics, Game domain knowledge",15,24,19.5,Electronic Arts
Product / Growth,Product Manager – Industrial IoT,India,Define roadmap for IoT products in GE’s industrial solutions.,"Product strategy, IoT, analytics",15,24,19.5,GE India
Product / Growth,Product Manager – Digital Banking Platform,India,Define roadmap/features for Kotak’s digital banking offerings.,"Product strategy, Analytics, FinTech domain",15,23,19,Kotak Mahindra Bank
Product / Growth,Product Manager – Payment Solutions,India,Define product features for BillDesk’s fintech/payment solutions.,"Product strategy, Analytics, FinTech domain",15,28,21.5,BillDesk
Product / Growth,Product Manager – Observability Solutions,India (Pune),Define product features for LogicMonitor’s monitoring/observability suite.,"Product strategy, Analytics, Tech domain",15,28,21.5,LogicMonitor
Product / Growth,Product Manager – Data/Market Platform,India / Remote,Define features for Nasdaq’s data/market services platform.,"Product strategy, Analytics, Domain knowledge",15,24,19.5,Nasdaq
Product / Growth,Product Manager – Database / Platform,India,Define product roadmap for Yugabyte’s database platform features.,"Product strategy, analytics, DB domain knowledge",15,26,20.5,Yugabyte
Product / Growth,Product Manager – Eyewear Tech,India,Define and launch product features that enhance Lenskart’s digital-retail experience.,"Product strategy, analytics, stakeholder management",14,24,19,Lenskart
Product / Growth,Product Manager – EdTech Platform,India / Remote,Define product features & roadmap for Multiverse’s learning platform.,"Product strategy, Analytics, Communication",14,26,20,Multiverse
Product / Growth,Product Manager – PropTech Solutions,India / Remote,Define features and roadmap for property-management software.,"Product strategy, analytics, domain knowledge",14,26,20,AppFolio
Product / Growth,Product Manager – Job Search Tools,India / Remote,Define features for Glassdoor’s job/market platform.,"Product strategy, analytics",14,45,29.5,Glassdoor
Product / Growth,Product Manager – Hiring/Skills Platform,India / Remote,Define product features for HackerRank’s assessment and hiring tools.,"Product strategy, Analytics, Domain knowledge",14,24,19,HackerRank
Product / Growth,Product Manager – Mobile/IoT Ecosystem,India / Remote,Define product roadmap for Samsung’s mobile/IoT ecosystem.,"Product strategy, Analytics, IoT/consumer domain",14,22,18,Samsung
Product / Growth,Product Manager – Vehicle Sharing Platform,India,Define product roadmap for Zoomcar’s shared-mobility platform.,"Product strategy, analytics, mobility domain",13,26,19.5,Zoomcar
Product / Growth,Growth Manager,India,Lead initiatives to increase user/seller growth on the Udaan platform.,"Analytics, Marketing, Product understanding (LinkedIn)",12,24,18,Udaan
Product / Growth,Product Manager – Event Tech Solutions,India / Remote,Define roadmap and product features for event/meeting SaaS solutions.,"Product strategy, Analytics, Domain knowledge",12,24,18,Cvent
Product / Growth,Growth Marketing Manager – FinTech,India,Run acquisition & growth campaigns for Angel One’s user base.,"Marketing, analytics, communication",9,24,16.5,Angel One
Product / Growth,Growth Marketing Specialist – Auto Platform,India,Run marketing campaigns to boost CarWale’s platform usage & user growth.,"Digital marketing, analytics, communication",8,24,16,CarWale
Product / Growth,Growth Marketing Specialist,India,Run growth strategies and campaigns for Jumbotail’s platform.,"Marketing, Analytics, Communication",9,23,16,Jumbotail
Product / Growth,Product Manager – SMB FinTech,India,Define product features for small-business fintech users.,"Product Strategy, Analytics, Communication",14,21,17.5,KhataBook
Product / Hardware,Product Manager – IoT Devices,India,Define roadmap for IoT hardware and connected systems at TE.,"Product management, Hardware knowledge, Analytics",16,28,22,TE Connectivity
Product / Hardware,Hardware Design Engineer,India,Design hardware components for Lenovo’s device portfolio.,"PCB design, Electronics, CAD tools",12,20,16,Lenovo
Product / Management,Product Manager – India & APAC,India,Launch and manage products for India/Asia region at Microsoft.,"Product Strategy, Analytics, Leadership",18,30,24,Microsoft
Product / Management,Product Manager – Connectivity Solutions,India,Define roadmap for Broadcom’s connectivity & network product lines.,"Product strategy, Analytics, Technical domain knowledge",17,26,21.5,Broadcom
Product / Management,Product Manager – AI/Edge Platforms,India / Remote,Define features and roadmap for Intel’s AI/edge computing platforms.,"Product strategy, analytics, AI/edge domain knowledge",17,26,21.5,Intel
